isolate,start,end
72407.2546.con.0003|provirus_198056_249075,198056,249075
72407.2236.con.0021|provirus_3_49795,3,49795
72407.2236.con.0035|provirus_20920_41127,20920,41127
72407.2236.con.0103|provirus_11158_19595,11158,19595
72407.2236.con.0065|provirus_23138_28223,23138,28223
72407.2284.con.0006|provirus_215795_255219,215795,255219
72407.2284.con.0021|provirus_52545_83515,52545,83515
72407.2284.con.0001|provirus_181711_214466,181711,214466
573.67349.con.0009|provirus_216983_259666,216983,259666
573.67349.con.0001|provirus_1016530_1058530,1016530,1058530
573.67349.con.0006|provirus_2_38494,2,38494
573.67349.con.0022|provirus_18650_42337,18650,42337
573.67349.con.0010|provirus_196181_217187,196181,217187
573.67349.con.0019|provirus_104_8612,104,8612
573.65901.con.0001|provirus_88887_134390,88887,134390
573.65901.con.0009|provirus_171459_211942,171459,211942
72407.2677.con.0006|provirus_1_46462,1,46462
573.66395.con.0015|provirus_60643_93093,60643,93093
573.66395.con.0001|provirus_266750_313865,266750,313865
573.66395.con.0025|provirus_17513_25630,17513,25630
72407.2594.con.0001|provirus_354610_391604,354610,391604
72407.2594.con.0003|provirus_34412_73958,34412,73958
573.66513.con.0015|provirus_20_32470,20,32470
573.66513.con.0001|provirus_431047_478162,431047,478162
573.66513.con.0025|provirus_17513_25630,17513,25630
72407.2461.con.0015|provirus_91200_135635,91200,135635
72407.2461.con.0030|provirus_27158_35926,27158,35926
72407.2461.con.0003|provirus_367821_395199,367821,395199
72407.2461.con.0010|provirus_3_6541,3,6541
72407.2798.con.0001|provirus_274555_320444,274555,320444
72407.2798.con.0008|provirus_166608_220456,166608,220456
72407.2798.con.0004|provirus_28637_37529,28637,37529
72407.2832.con.0044|provirus_2_22916,2,22916
72407.2832.con.0005|provirus_1_47059,1,47059
72407.2832.con.0022|provirus_42355_70231,42355,70231
573.66222.con.0012|provirus_1_41279,1,41279
573.66222.con.0014|provirus_3_16313,3,16313
573.66222.con.0006|provirus_282998_329062,282998,329062
573.66222.con.0010|provirus_3_19862,3,19862
573.66222.con.0003|provirus_42171_81246,42171,81246
573.66222.con.0006|provirus_56360_67232,56360,67232
573.66276.con.0010|provirus_1_43331,1,43331
573.66276.con.0007|provirus_228758_273826,228758,273826
573.66276.con.0012|provirus_3_25415,3,25415
573.66276.con.0015|provirus_129606_144241,129606,144241
573.66276.con.0010|provirus_169081_207689,169081,207689
573.65906.con.0009|provirus_27539_80306,27539,80306
573.66503.con.0021|provirus_24529_81594,24529,81594
573.67343.con.0006|provirus_129080_177599,129080,177599
72407.2719.con.0002|provirus_87087_131815,87087,131815
72407.2719.con.0005|provirus_268004_304048,268004,304048
72407.2719.con.0002|provirus_236538_280510,236538,280510
72407.2409.con.0010|provirus_27157_60613,27157,60613
72407.2409.con.0005|provirus_42169_80777,42169,80777
573.66506.con.0010|provirus_196196_216055,196196,216055
573.66506.con.0020|provirus_55194_68339,55194,68339
573.66506.con.0003|provirus_501753_540828,501753,540828
573.66506.con.0008|provirus_218464_229336,218464,229336
573.66506.con.0013|provirus_113481_116668,113481,116668
72407.2803.con.0004|provirus_207_17924,207,17924
72407.2803.con.0009|provirus_100_13400,100,13400
72407.2803.con.0009|provirus_53711_101252,53711,101252
72407.2803.con.0036|provirus_14347_27225,14347,27225
72407.2803.con.0012|provirus_6548_22651,6548,22651
573.65902.con.0001|provirus_437612_471656,437612,471656
573.65902.con.0003|provirus_60770_117033,60770,117033
574.105.con.0033|provirus_892_16076,892,16076
574.105.con.0005|provirus_71336_113581,71336,113581
574.105.con.0016|provirus_1_33937,1,33937
574.105.con.0015|provirus_42306_80411,42306,80411
574.105.con.0010|provirus_136360_142123,136360,142123
72407.2664.con.0010|provirus_45828_95768,45828,95768
72407.2664.con.0013|provirus_18600_74168,18600,74168
72407.271.con.0006|provirus_2_3856,2,3856
72407.271.con.0030|provirus_1_11543,1,11543
72407.271.con.0002|provirus_432655_448758,432655,448758
72407.271.con.0026|provirus_55106_67526,55106,67526
72407.2567.con.0005|provirus_180364_216039,180364,216039
72407.2567.con.0011|provirus_115_19172,115,19172
573.66528.con.0025|provirus_1_8118,1,8118
573.66528.con.0015|provirus_60663_93113,60663,93113
573.66528.con.0001|provirus_430840_477955,430840,477955
574.112.con.0005|provirus_419_58330,419,58330
574.112.con.0007|provirus_214184_265946,214184,265946
574.112.con.0007|provirus_18638_71916,18638,71916
573.66492.con.0026|provirus_3_21971,3,21971
573.66492.con.0008|provirus_72548_123786,72548,123786
573.66492.con.0014|provirus_133469_144910,133469,144910
573.66492.con.0023|provirus_42169_80777,42169,80777
573.66346.con.0010|provirus_27157_60613,27157,60613
573.66346.con.0003|provirus_386414_425017,386414,425017
72407.2739.con.0004|provirus_91520_141994,91520,141994
573.65954.con.0005|provirus_142112_160518,142112,160518
573.65954.con.0053|provirus_332_24549,332,24549
573.65954.con.0026|provirus_12171_45804,12171,45804
573.65954.con.0064|provirus_18586_29389,18586,29389
72407.242.con.0006|provirus_1_44243,1,44243
72407.242.con.0001|provirus_432654_448757,432654,448757
72407.242.con.0025|provirus_55106_67289,55106,67289
72407.2578.con.0038|provirus_17856_43566,17856,43566
72407.2578.con.0015|provirus_27565_62319,27565,62319
72407.2578.con.0048|provirus_29060_36052,29060,36052
574.106.con.0006|provirus_304696_351358,304696,351358
574.106.con.0006|provirus_108330_146328,108330,146328
574.106.con.0006|provirus_166453_198085,166453,198085
72407.2709.con.0012|provirus_196222_210189,196222,210189
72407.2709.con.0006|provirus_268209_276975,268209,276975
72407.2437.con.0007|provirus_294_45455,294,45455
72407.2437.con.0001|provirus_258814_303307,258814,303307
72407.2437.con.0023|provirus_43_30436,43,30436
72407.2437.con.0016|provirus_62497_95612,62497,95612
72407.2437.con.0005|provirus_6548_22651,6548,22651
72407.2437.con.0018|provirus_164_15610,164,15610
573.66558.con.0020|provirus_27157_49125,27157,49125
573.66558.con.0006|provirus_206527_257771,206527,257771
573.66558.con.0006|provirus_42169_80777,42169,80777
573.66558.con.0016|provirus_48_11489,48,11489
573.66367.con.0023|provirus_27_49797,27,49797
573.66257.con.0012|provirus_133422_166878,133422,166878
573.66257.con.0003|provirus_1109_57742,1109,57742
573.65972.con.0021|provirus_84331_97103,84331,97103
573.65972.con.0015|provirus_41_14307,41,14307
573.65972.con.0027|provirus_19019_55127,19019,55127
573.65972.con.0029|provirus_40615_50441,40615,50441
72407.2851.con.0021|provirus_87095_99224,87095,99224
72407.2851.con.0033|provirus_25_31733,25,31733
72407.2851.con.0041|provirus_630_14098,630,14098
573.66435.con.0001|provirus_1231997_1286018,1231997,1286018
573.66435.con.0001|provirus_60691_105111,60691,105111
573.66435.con.0007|provirus_74699_87709,74699,87709
72407.2554.con.0002|provirus_445938_482809,445938,482809
72407.2554.con.0004|provirus_168215_220633,168215,220633
573.65963.con.0007|provirus_3_43774,3,43774
573.65963.con.0005|provirus_359694_404408,359694,404408
573.65963.con.0004|provirus_410595_421140,410595,421140
573.65963.con.0001|provirus_192969_211389,192969,211389
72407.245.con.0030|provirus_41073_65108,41073,65108
72407.245.con.0006|provirus_89946_133029,89946,133029
72407.245.con.0018|provirus_64340_99106,64340,99106
72407.245.con.0007|provirus_207714_211852,207714,211852
72407.245.con.0005|provirus_197359_213462,197359,213462
72407.245.con.0029|provirus_55200_68082,55200,68082
72407.2288.con.0017|provirus_2945_49856,2945,49856
72407.2288.con.0022|provirus_72861_80792,72861,80792
72407.2288.con.0021|provirus_2_22162,2,22162
72407.2749.con.0001|provirus_129018_176164,129018,176164
72407.2749.con.0004|provirus_27910_61141,27910,61141
72407.2749.con.0001|provirus_502574_557009,502574,557009
72407.2749.con.0001|provirus_304312_359149,304312,359149
72407.2749.con.0008|provirus_72949_91367,72949,91367
573.66253.con.0024|provirus_1_8118,1,8118
573.66253.con.0015|provirus_20_32470,20,32470
573.66253.con.0001|provirus_431049_478164,431049,478164
573.66253.con.0005|provirus_388648_414174,388648,414174
573.66354.con.0006|provirus_3_16313,3,16313
573.66354.con.0007|provirus_282998_300672,282998,300672
573.66354.con.0010|provirus_3_19862,3,19862
573.66354.con.0003|provirus_42171_81246,42171,81246
573.66354.con.0013|provirus_113481_116668,113481,116668
573.66354.con.0006|provirus_355032_371317,355032,371317
573.66354.con.0007|provirus_56360_67232,56360,67232
72407.2731.con.0009|provirus_218873_262002,218873,262002
72407.2731.con.0009|provirus_18648_72503,18648,72503
573.66497.con.0021|provirus_24529_81594,24529,81594
573.66532.con.0013|provirus_117692_124638,117692,124638
573.66532.con.0001|provirus_60890_105310,60890,105310
573.66532.con.0007|provirus_113964_126974,113964,126974
72407.2519.con.0020|provirus_41019_79092,41019,79092
72407.2519.con.0019|provirus_55142_85535,55142,85535
72407.2519.con.0014|provirus_1_20497,1,20497
72407.2519.con.0009|provirus_191316_207419,191316,207419
72407.2587.con.0011|provirus_101593_152969,101593,152969
72407.2587.con.0011|provirus_39346_78511,39346,78511
573.66083.con.0022|provirus_1_38956,1,38956
573.66083.con.0007|provirus_1_39606,1,39606
573.66083.con.0024|provirus_1_28530,1,28530
72407.2751.con.0004|provirus_372503_428611,372503,428611
573.66027.con.0029|provirus_23596_73364,23596,73364
573.66027.con.0025|provirus_6533_45141,6533,45141
573.65939.con.0016|provirus_88840_105252,88840,105252
573.65939.con.0005|provirus_166775_221165,166775,221165
573.65939.con.0004|provirus_285083_314542,285083,314542
573.66229.con.0010|provirus_117694_167398,117694,167398
573.66229.con.0002|provirus_587467_634287,587467,634287
573.66229.con.0013|provirus_1_27775,1,27775
573.66229.con.0011|provirus_204_7224,204,7224
573.66282.con.0020|provirus_1017_50721,1017,50721
573.66282.con.0023|provirus_31031_54887,31031,54887
573.66282.con.0027|provirus_29_17146,29,17146
573.66282.con.0011|provirus_28217_63112,28217,63112
573.66282.con.0022|provirus_6732_22890,6732,22890
72407.2223.con.0014|provirus_109054_129700,109054,129700
72407.2223.con.0020|provirus_2_10590,2,10590
72407.2223.con.0036|provirus_222_17335,222,17335
72407.2223.con.0015|provirus_98077_120845,98077,120845
72407.2223.con.0029|provirus_2_10877,2,10877
72407.2223.con.0031|provirus_39553_49133,39553,49133
72407.2223.con.0001|provirus_196292_210156,196292,210156
573.66553.con.0025|provirus_3_21971,3,21971
573.66553.con.0005|provirus_72928_124172,72928,124172
573.66553.con.0018|provirus_133470_144911,133470,144911
573.66553.con.0005|provirus_249922_288530,249922,288530
72407.2757.con.0006|provirus_2_44054,2,44054
72407.2757.con.0026|provirus_2_43510,2,43510
573.66356.con.0005|provirus_281646_327600,281646,327600
573.66356.con.0009|provirus_42_30435,42,30435
573.66356.con.0002|provirus_332513_355933,332513,355933
573.66356.con.0038|provirus_2_7253,2,7253
72407.2231.con.0003|provirus_27157_60515,27157,60515
72407.2231.con.0014|provirus_18651_74644,18651,74644
72407.2231.con.0001|provirus_280143_304925,280143,304925
573.66249.con.0026|provirus_30465_63789,30465,63789
573.66249.con.0016|provirus_128694_160330,128694,160330
573.66249.con.0003|provirus_2_11447,2,11447
72407.2472.con.0001|provirus_259838_310125,259838,310125
72407.2762.con.0037|provirus_9928_17811,9928,17811
72407.2762.con.0008|provirus_193294_216932,193294,216932
72407.2762.con.0012|provirus_102727_139933,102727,139933
72407.2762.con.0027|provirus_26554_70707,26554,70707
72407.2524.con.0027|provirus_1_12719,1,12719
573.66284.con.0001|provirus_903621_952024,903621,952024
573.66284.con.0019|provirus_26548_75264,26548,75264
72407.2858.con.0018|provirus_2_9194,2,9194
72407.2858.con.0025|provirus_20_40994,20,40994
72407.2858.con.0040|provirus_630_14098,630,14098
72407.2308.con.0002|provirus_80818_132963,80818,132963
72407.2308.con.0005|provirus_54271_105860,54271,105860
72407.2308.con.0005|provirus_252230_306085,252230,306085
JAQQWX010000004|provirus_87221_132662,87221,132662
JAQQWX010000027|provirus_45379_75771,45379,75771
JAQQWX010000001|provirus_6741_22844,6741,22844
573.66353.con.0005|provirus_3_16313,3,16313
573.66353.con.0006|provirus_309_17983,309,17983
573.66353.con.0009|provirus_3_19862,3,19862
573.66353.con.0003|provirus_42171_81246,42171,81246
573.66353.con.0006|provirus_233749_244621,233749,244621
573.66353.con.0013|provirus_113481_116668,113481,116668
573.66353.con.0005|provirus_355032_371317,355032,371317
573.66494.con.0024|provirus_27157_49125,27157,49125
573.66494.con.0010|provirus_119212_170450,119212,170450
573.66494.con.0022|provirus_42169_80777,42169,80777
573.66494.con.0015|provirus_48_11489,48,11489
72407.2861.con.0001|provirus_129251_173261,129251,173261
72407.2861.con.0024|provirus_27912_54105,27912,54105
72407.2861.con.0031|provirus_4838_35386,4838,35386
72407.2861.con.0003|provirus_113771_151912,113771,151912
72407.2861.con.0016|provirus_132176_147619,132176,147619
72407.2861.con.0017|provirus_115356_129640,115356,129640
573.66007.con.0010|provirus_69169_119109,69169,119109
573.66287.con.0021|provirus_1110_58175,1110,58175
573.66533.con.0012|provirus_1_41279,1,41279
573.66533.con.0005|provirus_3_16313,3,16313
573.66533.con.0006|provirus_1_46065,1,46065
573.66533.con.0009|provirus_3_19862,3,19862
573.66533.con.0003|provirus_42171_81246,42171,81246
573.66533.con.0006|provirus_261831_272703,261831,272703
573.66533.con.0005|provirus_355032_371317,355032,371317
72407.2503.con.0024|provirus_19305_53755,19305,53755
72407.2503.con.0018|provirus_26_38232,26,38232
72407.2503.con.0012|provirus_26046_59139,26046,59139
72407.2503.con.0004|provirus_366770_405088,366770,405088
72407.2503.con.0009|provirus_88774_106291,88774,106291
72407.2676.con.0041|provirus_203_19588,203,19588
72407.2676.con.0032|provirus_48724_62443,48724,62443
72407.2676.con.0003|provirus_140449_179614,140449,179614
72407.248.con.0028|provirus_41073_65108,41073,65108
72407.248.con.0006|provirus_87588_130688,87588,130688
72407.248.con.0007|provirus_207696_211834,207696,211834
72407.248.con.0001|provirus_1_7760,1,7760
72407.248.con.0055|provirus_6844_15301,6844,15301
72407.248.con.0027|provirus_55272_67455,55272,67455
72407.2445.con.0006|provirus_117475_167498,117475,167498
72407.2445.con.0023|provirus_9867_63268,9867,63268
72407.229.con.0005|provirus_125_16545,125,16545
72407.229.con.0006|provirus_82035_125817,82035,125817
72407.229.con.0013|provirus_1_11543,1,11543
72407.229.con.0001|provirus_704427_720530,704427,720530
573.66366.con.0005|provirus_3_16313,3,16313
573.66366.con.0011|provirus_3_19862,3,19862
573.66366.con.0014|provirus_3_3190,3,3190
573.66366.con.0002|provirus_42171_81246,42171,81246
573.66366.con.0005|provirus_355032_371317,355032,371317
573.66366.con.0009|provirus_56360_67232,56360,67232
573.66518.con.0021|provirus_24529_81594,24529,81594
573.66459.con.0026|provirus_27157_49125,27157,49125
573.66459.con.0007|provirus_72548_123786,72548,123786
573.66459.con.0015|provirus_133470_144911,133470,144911
573.66459.con.0023|provirus_42169_80777,42169,80777
72407.2822.con.0027|provirus_46_17111,46,17111
72407.2822.con.0002|provirus_303663_311390,303663,311390
72407.2822.con.0028|provirus_42468_80552,42468,80552
72407.2822.con.0004|provirus_2_23549,2,23549
72407.2822.con.0012|provirus_55641_67036,55641,67036
573.66422.con.0012|provirus_113481_154759,113481,154759
573.66422.con.0006|provirus_3_16313,3,16313
573.66422.con.0008|provirus_282998_329062,282998,329062
573.66422.con.0010|provirus_3_19862,3,19862
573.66422.con.0003|provirus_502188_541263,502188,541263
573.66422.con.0006|provirus_355032_371317,355032,371317
573.66422.con.0008|provirus_56360_67232,56360,67232
573.66233.con.0022|provirus_24529_81594,24529,81594
72407.2753.con.0006|provirus_317005_328240,317005,328240
72407.2753.con.0029|provirus_17525_37426,17525,37426
72407.2753.con.0012|provirus_199_13149,199,13149
72407.2753.con.0006|provirus_108451_146711,108451,146711
72407.2753.con.0010|provirus_2_8837,2,8837
573.66534.con.0022|provirus_24529_81594,24529,81594
72407.2806.con.0006|provirus_193410_201204,193410,201204
72407.2806.con.0007|provirus_70205_112517,70205,112517
72407.2806.con.0023|provirus_58433_93184,58433,93184
72407.2806.con.0012|provirus_127022_142549,127022,142549
72407.2806.con.0027|provirus_62761_80857,62761,80857
72407.2806.con.0009|provirus_94_8860,94,8860
72407.2439.con.0004|provirus_174840_218892,174840,218892
72407.2439.con.0033|provirus_1_34876,1,34876
72407.2373.con.0041|provirus_28382_45994,28382,45994
72407.2373.con.0060|provirus_24160_31569,24160,31569
72407.2373.con.0002|provirus_88957_132613,88957,132613
72407.2373.con.0053|provirus_3_24980,3,24980
72407.2373.con.0071|provirus_8279_26275,8279,26275
72407.2373.con.0004|provirus_3_17957,3,17957
72407.2373.con.0003|provirus_8758_20208,8758,20208
72407.2656.con.0002|provirus_364748_384743,364748,384743
72407.2656.con.0028|provirus_116_15887,116,15887
72407.2656.con.0007|provirus_1_13369,1,13369
NWCN01000003|provirus_386997_441378,386997,441378
72407.2407.con.0004|provirus_183552_232117,183552,232117
72407.265.con.0020|provirus_73_5457,73,5457
72407.265.con.0016|provirus_87503_121180,87503,121180
72407.265.con.0009|provirus_84385_130913,84385,130913
72407.265.con.0001|provirus_6744_22847,6744,22847
72407.265.con.0028|provirus_55106_67289,55106,67289
573.65915.con.0041|provirus_4267_39497,4267,39497
573.65915.con.0029|provirus_40708_52420,40708,52420
573.66519.con.0005|provirus_268253_303847,268253,303847
573.66519.con.0025|provirus_34131_51226,34131,51226
573.66519.con.0012|provirus_124735_168079,124735,168079
573.66519.con.0010|provirus_37423_54575,37423,54575
573.66519.con.0016|provirus_2_16667,2,16667
JAODXY010000014|provirus_154485_163466,154485,163466
JAODXY010000009|provirus_166598_204571,166598,204571
JAODXY010000002|provirus_2_44518,2,44518
JAODXY010000010|provirus_196303_204198,196303,204198
72407.2483.con.0014|provirus_1_23194,1,23194
72407.2483.con.0024|provirus_42355_50894,42355,50894
72407.2483.con.0008|provirus_104970_138881,104970,138881
72407.2483.con.0006|provirus_3_27836,3,27836
72407.2483.con.0009|provirus_206217_216995,206217,216995
JAODJF010000013|provirus_130425_168498,130425,168498
JAODJF010000003|provirus_1_8179,1,8179
JAODJF010000007|provirus_3_23492,3,23492
JAODJF010000007|provirus_210197_226300,210197,226300
JAODJF010000022|provirus_63517_76141,63517,76141
573.66515.con.0014|provirus_130608_165537,130608,165537
573.66515.con.0039|provirus_7882_20535,7882,20535
573.66515.con.0003|provirus_200083_237567,200083,237567
573.66515.con.0006|provirus_265890_281993,265890,281993
72407.2675.con.0027|provirus_1_12719,1,12719
573.66315.con.0006|provirus_3_16313,3,16313
573.66315.con.0007|provirus_309_17983,309,17983
573.66315.con.0010|provirus_3_19862,3,19862
573.66315.con.0013|provirus_3_3190,3,3190
573.66315.con.0003|provirus_42171_81246,42171,81246
573.66315.con.0007|provirus_233749_244621,233749,244621
573.66315.con.0006|provirus_355032_371317,355032,371317
573.65933.con.0001|provirus_193911_227955,193911,227955
573.65933.con.0004|provirus_395614_451877,395614,451877
573.66029.con.0003|provirus_278585_325978,278585,325978
72407.2611.con.0002|provirus_87087_131815,87087,131815
72407.2611.con.0006|provirus_268226_304270,268226,304270
72407.2611.con.0002|provirus_236538_280510,236538,280510
573.66015.con.0012|provirus_54444_166936,54444,166936
JANIOW010000001|provirus_3694393_3786776,3694393,3786776
JANIOW010000001|provirus_4231412_4269398,4231412,4269398
JANIOW010000001|provirus_1005236_1060560,1005236,1060560
JANIOW010000001|provirus_740744_792519,740744,792519
573.66504.con.0010|provirus_3_19862,3,19862
573.66504.con.0020|provirus_55194_68339,55194,68339
573.66504.con.0003|provirus_501753_540828,501753,540828
573.66504.con.0008|provirus_218464_229336,218464,229336
573.66504.con.0013|provirus_113481_116668,113481,116668
573.66073.con.0019|provirus_3_38111,3,38111
573.66073.con.0025|provirus_23864_56222,23864,56222
573.66073.con.0024|provirus_75928_86567,75928,86567
573.66073.con.0006|provirus_148556_176338,148556,176338
573.66073.con.0047|provirus_19364_34282,19364,34282
573.65999.con.0031|provirus_1_12719,1,12719
573.65999.con.0019|provirus_31009_85363,31009,85363
573.65999.con.0012|provirus_94_8860,94,8860
NWCM01000011|provirus_89452_143833,89452,143833
72407.2682.con.0006|provirus_55598_94289,55598,94289
72407.2657.con.0014|provirus_11907_58330,11907,58330
72407.2336.con.0016|provirus_16691_53246,16691,53246
72407.2336.con.0013|provirus_11320_49088,11320,49088
72407.2336.con.0006|provirus_247577_258880,247577,258880
72407.2603.con.0002|provirus_71200_90690,71200,90690
72407.2603.con.0015|provirus_101141_116450,101141,116450
573.66052.con.0008|provirus_1_28175,1,28175
573.66052.con.0002|provirus_282641_332755,282641,332755
573.66052.con.0010|provirus_3_33746,3,33746
573.66052.con.0007|provirus_119436_153519,119436,153519
72407.2606.con.0002|provirus_371859_391349,371859,391349
72407.2606.con.0008|provirus_183328_197220,183328,197220
573.66423.con.0025|provirus_1_8118,1,8118
573.66423.con.0016|provirus_60643_93093,60643,93093
573.66423.con.0001|provirus_266750_313865,266750,313865
573.66423.con.0004|provirus_388668_414194,388668,414194
72407.2711.con.0004|provirus_141919_184573,141919,184573
72407.2711.con.0028|provirus_1_45666,1,45666
72407.2711.con.0025|provirus_1_35053,1,35053
72407.2711.con.0065|provirus_2_14376,2,14376
72407.2711.con.0047|provirus_21481_43780,21481,43780
72407.2711.con.0058|provirus_6999_15524,6999,15524
573.66431.con.0009|provirus_1_43331,1,43331
573.66431.con.0007|provirus_228758_273826,228758,273826
573.66431.con.0015|provirus_97_13639,97,13639
573.66431.con.0018|provirus_3_25415,3,25415
573.66431.con.0009|provirus_169081_207689,169081,207689
72407.2744.con.0004|provirus_26898_78321,26898,78321
573.66032.con.0004|provirus_75_46724,75,46724
72407.2388.con.0022|provirus_25991_39436,25991,39436
72407.2388.con.0010|provirus_70835_121566,70835,121566
72407.2315.con.0029|provirus_20556_59120,20556,59120
72407.2315.con.0021|provirus_1_23072,1,23072
72407.2315.con.0013|provirus_170_20525,170,20525
72407.2315.con.0036|provirus_12071_46053,12071,46053
72407.2315.con.0003|provirus_1_35947,1,35947
72407.2315.con.0028|provirus_50793_60180,50793,60180
72407.2315.con.0003|provirus_258533_268624,258533,268624
72407.2315.con.0023|provirus_3_14795,3,14795
72407.2644.con.0023|provirus_186_47826,186,47826
72407.2746.con.0009|provirus_164877_209312,164877,209312
72407.2746.con.0027|provirus_27158_35926,27158,35926
72407.2746.con.0028|provirus_1_27379,1,27379
72407.2746.con.0001|provirus_461921_469680,461921,469680
72407.2218.con.0009|provirus_71301_114336,71301,114336
72407.2218.con.0023|provirus_119_39448,119,39448
72407.2218.con.0003|provirus_64198_95829,64198,95829
573.65992.con.0078|provirus_2_12720,2,12720
573.65992.con.0093|provirus_1_5156,1,5156
72407.219.con.0005|provirus_125_16545,125,16545
72407.219.con.0012|provirus_1_11543,1,11543
